id_dep;nome;partido;UF;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9
178858;"MárioNegromonteJr.";pp;BA;sim;sim;não votou;sim;sim;sim;sim;não;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
160561;"MissionárioJoséOlimpio";pp;SP;sim;sim;sim;abstenção;não;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim
73781;"NelsonMeurer";pp;PR;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não
74752;"OdelmoLeão";pp;MG;sim;sim;sim;não;não;não;sim;não;sim;sim;sim;sim;não;sim;sim;sim;sim;não;sim
132056;"PauloMaluf";pp;SP;sim;sim;não votou;não votou;sim;sim;sim;não;não votou;não votou;não votou;não votou;não votou;sim;sim;sim;sim;não votou;sim
141527;"RenatoMolling";pp;RS;sim;sim;sim;sim;não votou;não;sim;sim;sim;sim;não votou;sim;não;não votou;sim;sim;sim;sim;sim
160654;"RenzoBraz";pp;MG;sim;sim;sim;não votou;sim;não;sim;não;não votou;sim;sim;não votou;sim;não votou;sim;sim;sim;sim;não votou
73788;"RicardoBarros";pp;PR;sim;não votou;sim;não votou;sim;sim;não;não votou;não votou;não;sim;não votou;não votou;não votou;não;não;7 sim;sim;sim
73674;"RobertoBalestra";pp;GO;sim;sim;sim;sim;não;não votou;sim;sim;sim;não;sim;sim;não;sim;sim;sim;sim;não votou;sim
141529;"RobertoBritto";pp;BA;sim;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim
178861;"RonaldoCarletto";pp;BA;sim;sim;sim;abstenção;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
74372;"SandesJúnior";pp;GO;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;não;sim
